Document1,Document2,EstimatedSimilarity,ExactSimilarity
1,10,0.448000,0.449173
1,11,0.444000,0.436195
1,12,0.442000,0.458221
1,13,0.424000,0.435897
1,14,0.530000,0.511905
1,15,0.522000,0.494444
1,16,0.476000,0.473684
1,17,0.426000,0.397306
1,18,0.490000,0.489418
1,19,0.490000,0.486667
1,2,0.484000,0.505525
1,20,0.490000,0.478659
1,3,0.544000,0.521490
1,4,0.484000,0.472637
1,5,0.500000,0.487952
1,6,0.506000,0.493261
1,7,0.472000,0.430206
1,8,0.456000,0.433180
1,9,0.538000,0.539157
10,11,0.406000,0.425243
10,12,0.378000,0.426087
10,13,0.388000,0.419417
10,14,0.446000,0.459016
10,15,0.450000,0.454343
10,16,0.410000,0.434694
10,17,0.348000,0.352041
10,18,0.432000,0.448718
10,19,0.356000,0.392060
10,2,0.424000,0.456954
10,20,0.400000,0.428571
10,3,0.466000,0.471526
10,4,0.428000,0.436992
10,5,0.402000,0.439716
10,6,0.434000,0.454348
10,7,0.420000,0.412214
10,8,0.402000,0.422780
10,9,0.438000,0.466042
11,12,0.408000,0.420601
11,13,0.400000,0.411877
11,14,0.460000,0.456019
11,15,0.484000,0.451542
11,16,0.438000,0.438134
11,17,0.360000,0.343358
11,18,0.466000,0.452229
11,19,0.346000,0.382927
11,2,0.438000,0.444685
11,20,0.426000,0.422535
11,3,0.458000,0.458613
11,4,0.426000,0.434608
11,5,0.448000,0.436916
11,6,0.456000,0.448498
11,7,0.440000,0.407547
11,8,0.424000,0.407197
11,9,0.460000,0.469767
12,13,0.388000,0.420259
12,14,0.466000,0.477212
12,15,0.452000,0.467172
12,16,0.434000,0.450575
12,17,0.408000,0.392097
12,18,0.444000,0.467312
12,19,0.378000,0.417391
12,2,0.438000,0.470000
12,20,0.424000,0.450549
12,3,0.472000,0.490909
12,4,0.416000,0.443182
12,5,0.430000,0.459239
12,6,0.458000,0.470443
12,7,0.436000,0.415254
12,8,0.406000,0.427039
12,9,0.460000,0.493261
13,14,0.444000,0.452436
13,15,0.460000,0.448124
13,16,0.412000,0.429150
13,17,0.342000,0.345960
13,18,0.430000,0.448936
13,19,0.364000,0.385749
13,2,0.426000,0.450766
13,20,0.402000,0.425532
13,3,0.454000,0.458427
13,4,0.406000,0.431452
13,5,0.420000,0.436620
13,6,0.436000,0.448276
13,7,0.432000,0.401887
13,8,0.414000,0.406844
13,9,0.448000,0.462791
14,15,0.536000,0.513812
14,16,0.468000,0.487562
14,17,0.456000,0.421405
14,18,0.508000,0.507895
14,19,0.436000,0.452229
14,2,0.498000,0.508152
14,20,0.478000,0.490964
14,3,0.526000,0.532578
14,4,0.488000,0.486420
14,5,0.516000,0.504478
14,6,0.530000,0.512064
14,7,0.476000,0.446469
14,8,0.468000,0.452874
14,9,0.530000,0.536873
15,16,0.494000,0.484634
15,17,0.428000,0.404321
15,18,0.500000,0.500000
15,19,0.476000,0.463855
15,2,0.504000,0.503856
15,20,0.518000,0.500000
15,3,0.532000,0.522667
15,4,0.480000,0.473193
15,5,0.498000,0.500000
15,6,0.528000,0.507614
15,7,0.506000,0.448802
15,8,0.474000,0.445415
15,9,0.528000,0.522099
16,17,0.384000,0.372283
16,18,0.474000,0.477376
16,19,0.410000,0.414248
16,2,0.458000,0.473318
16,20,0.450000,0.455696
16,3,0.508000,0.496386
16,4,0.446000,0.460385
16,5,0.482000,0.467337
16,6,0.488000,0.480460
16,7,0.476000,0.438632
16,8,0.444000,0.432596
16,9,0.486000,0.498753
17,18,0.414000,0.403509
17,19,0.388000,0.380228
17,2,0.398000,0.408537
17,20,0.416000,0.405594
17,3,0.446000,0.408805
17,4,0.386000,0.368280
17,5,0.412000,0.393220
17,6,0.418000,0.405970
17,7,0.384000,0.338272
17,8,0.360000,0.344140
17,9,0.430000,0.417219
18,19,0.424000,0.435393
18,2,0.484000,0.498771
18,20,0.452000,0.478495
18,3,0.512000,0.520408
18,4,0.448000,0.476404
18,5,0.492000,0.490667
18,6,0.492000,0.495169
18,7,0.464000,0.446541
18,8,0.444000,0.443277
18,9,0.498000,0.523810
19,2,0.402000,0.441520
19,20,0.412000,0.429043
19,3,0.442000,0.469325
19,4,0.370000,0.409922
19,5,0.462000,0.458746
19,6,0.432000,0.450867
19,7,0.384000,0.377404
19,8,0.372000,0.380145
19,9,0.424000,0.461783
2,20,0.456000,0.494382
2,3,0.502000,0.517060
2,4,0.472000,0.468966
2,5,0.482000,0.494475
2,6,0.498000,0.498753
2,7,0.476000,0.438972
2,8,0.438000,0.444924
2,9,0.510000,0.528767
20,3,0.510000,0.505814
20,4,0.446000,0.451128
20,5,0.468000,0.484568
20,6,0.486000,0.498615
20,7,0.450000,0.419954
20,8,0.430000,0.419580
20,9,0.498000,0.537037
3,4,0.490000,0.498801
3,5,0.520000,0.518732
3,6,0.526000,0.520725
3,7,0.478000,0.455752
3,8,0.490000,0.462054
3,9,0.536000,0.549858
4,5,0.454000,0.466334
4,6,0.488000,0.472727
4,7,0.472000,0.429423
4,8,0.436000,0.426295
4,9,0.472000,0.497525
5,6,0.508000,0.494565
5,7,0.472000,0.434180
5,8,0.456000,0.430556
5,9,0.500000,0.513433
6,7,0.472000,0.439746
6,8,0.458000,0.448718
6,9,0.528000,0.524194
7,8,0.454000,0.407895
7,9,0.490000,0.456621
8,9,0.460000,0.466513
