Expected Similarity Matrix between documents:
Total k-shingles in base set: 226

Doc	Doc1	Doc2	Doc3	Doc4	Doc5	Doc6	Doc7	Doc8	Doc9	Doc10	Doc11	Doc12	Doc13	Doc14	Doc15	Doc16	Doc17	Doc18	Doc19	Doc20	
Doc1	1.000	0.197	0.179	0.229	0.157	0.205	0.249	0.249	0.162	0.243	0.247	0.204	0.245	0.163	0.191	0.227	0.098	0.210	0.123	0.151	
Doc2	0.197	1.000	0.229	0.317	0.195	0.273	0.356	0.356	0.202	0.344	0.353	0.271	0.348	0.204	0.248	0.313	0.112	0.282	0.144	0.185	
Doc3	0.179	0.229	1.000	0.273	0.177	0.240	0.302	0.302	0.183	0.293	0.300	0.238	0.296	0.185	0.221	0.270	0.106	0.247	0.134	0.169	
Doc4	0.229	0.317	0.273	1.000	0.226	0.338	0.475	0.475	0.235	0.454	0.470	0.335	0.462	0.238	0.301	0.401	0.121	0.352	0.160	0.213	
Doc5	0.157	0.195	0.177	0.226	1.000	0.202	0.245	0.245	0.160	0.239	0.243	0.201	0.241	0.162	0.189	0.224	0.098	0.208	0.122	0.150	
Doc6	0.205	0.273	0.240	0.338	0.202	1.000	0.382	0.382	0.210	0.368	0.379	0.286	0.374	0.212	0.261	0.333	0.114	0.299	0.148	0.192	
Doc7	0.249	0.356	0.302	0.475	0.245	0.382	1.000	0.569	0.256	0.539	0.561	0.379	0.550	0.259	0.336	0.466	0.126	0.402	0.170	0.230	
Doc8	0.249	0.356	0.302	0.475	0.245	0.382	0.569	1.000	0.256	0.539	0.561	0.379	0.550	0.259	0.336	0.466	0.126	0.402	0.170	0.230	
Doc9	0.162	0.202	0.183	0.235	0.160	0.210	0.256	0.256	1.000	0.249	0.254	0.209	0.252	0.166	0.195	0.233	0.099	0.215	0.124	0.154	
Doc10	0.243	0.344	0.293	0.454	0.239	0.368	0.539	0.539	0.249	1.000	0.532	0.365	0.522	0.253	0.325	0.446	0.125	0.386	0.167	0.225	
Doc11	0.247	0.353	0.300	0.470	0.243	0.379	0.561	0.561	0.254	0.532	1.000	0.375	0.543	0.258	0.333	0.461	0.126	0.397	0.169	0.229	
Doc12	0.204	0.271	0.238	0.335	0.201	0.286	0.379	0.379	0.209	0.365	0.375	1.000	0.370	0.211	0.259	0.331	0.114	0.297	0.148	0.191	
Doc13	0.245	0.348	0.296	0.462	0.241	0.374	0.550	0.550	0.252	0.522	0.543	0.370	1.000	0.255	0.329	0.453	0.125	0.392	0.168	0.227	
Doc14	0.163	0.204	0.185	0.238	0.162	0.212	0.259	0.259	0.166	0.253	0.258	0.211	0.255	1.000	0.197	0.236	0.100	0.218	0.125	0.155	
Doc15	0.191	0.248	0.221	0.301	0.189	0.261	0.336	0.336	0.195	0.325	0.333	0.259	0.329	0.197	1.000	0.297	0.110	0.270	0.141	0.180	
Doc16	0.227	0.313	0.270	0.401	0.224	0.333	0.466	0.466	0.233	0.446	0.461	0.331	0.453	0.236	0.297	1.000	0.120	0.347	0.159	0.211	
Doc17	0.098	0.112	0.106	0.121	0.098	0.114	0.126	0.126	0.099	0.125	0.126	0.114	0.125	0.100	0.110	0.120	1.000	0.116	0.083	0.095	
Doc18	0.210	0.282	0.247	0.352	0.208	0.299	0.402	0.402	0.215	0.386	0.397	0.297	0.392	0.218	0.270	0.347	0.116	1.000	0.151	0.197	
Doc19	0.123	0.144	0.134	0.160	0.122	0.148	0.170	0.170	0.124	0.167	0.169	0.148	0.168	0.125	0.141	0.159	0.083	0.151	1.000	0.118	
Doc20	0.151	0.185	0.169	0.213	0.150	0.192	0.230	0.230	0.154	0.225	0.229	0.191	0.227	0.155	0.180	0.211	0.095	0.197	0.118	1.000	
