sadly crippled manacles segregation chains discrimination
happiness obvious today america defaulted promissory
men yes black men well white
declaration independence signing promissory note every
justice also come hallowed spot remind
architects republic wrote magnificent words constitution
proclamation momentous decree came great beacon
make real promises democracy time rise
magnificent words constitution declaration independence signing
today america defaulted promissory note insofar
every american fall heir note promise
momentous decree came great beacon light
freedom history nation five score years
lives lonely island poverty midst vast
life liberty pursuit happiness obvious today
history nation five score years ago
still free one hundred years later
years ago great american whose symbolic
flames withering injustice came joyous daybreak
democracy time rise dark desolate valley
later negro lives lonely island poverty
promise men yes black men well
come nations capital cash check architects
spot remind america fierce urgency time
urgency time engage luxury cooling take
insufficient funds refuse believe bank justice
justice time lift nation quicksands racial
one hundred years later negro lives
check come back marked insufficient funds
poverty midst vast ocean material prosperity
believe insufficient funds great vaults opportunity
drug gradualism time make real promises
fierce urgency time engage luxury cooling
years later negro still free one
men well white men would guaranteed
republic wrote magnificent words constitution declaration
chains discrimination one hundred years later
five score years ago great american
crippled manacles segregation chains discrimination one
liberty pursuit happiness obvious today america
nation five score years ago great
america fierce urgency time engage luxury
sunlit path racial justice time lift
end long night captivity one hundred
unalienable rights life liberty pursuit happiness
american fall heir note promise men
america given negro people bad check
greatest demonstration freedom history nation five
given negro people bad check check
men would guaranteed unalienable rights life
