Document1,Document2,EstimatedSimilarity
1,10,0.454000,
1,11,0.420000,
1,12,0.448000,
1,13,0.412000,
1,14,0.512000,
1,15,0.476000,
1,16,0.476000,
1,17,0.406000,
1,18,0.480000,
1,19,0.478000,
1,2,0.458000,
1,20,0.450000,
1,3,0.528000,
1,4,0.480000,
1,5,0.478000,
1,6,0.454000,
1,7,0.432000,
1,8,0.412000,
1,9,0.546000,
10,11,0.418000,
10,12,0.426000,
10,13,0.430000,
10,14,0.458000,
10,15,0.436000,
10,16,0.442000,
10,17,0.350000,
10,18,0.460000,
10,19,0.408000,
10,2,0.448000,
10,20,0.432000,
10,3,0.476000,
10,4,0.436000,
10,5,0.448000,
10,6,0.420000,
10,7,0.428000,
10,8,0.400000,
10,9,0.470000,
11,12,0.402000,
11,13,0.384000,
11,14,0.434000,
11,15,0.420000,
11,16,0.416000,
11,17,0.334000,
11,18,0.426000,
11,19,0.378000,
11,2,0.416000,
11,20,0.390000,
11,3,0.430000,
11,4,0.402000,
11,5,0.422000,
11,6,0.398000,
11,7,0.378000,
11,8,0.352000,
11,9,0.434000,
12,13,0.390000,
12,14,0.468000,
12,15,0.444000,
12,16,0.434000,
12,17,0.382000,
12,18,0.458000,
12,19,0.442000,
12,2,0.446000,
12,20,0.428000,
12,3,0.504000,
12,4,0.452000,
12,5,0.470000,
12,6,0.436000,
12,7,0.398000,
12,8,0.396000,
12,9,0.486000,
13,14,0.422000,
13,15,0.412000,
13,16,0.408000,
13,17,0.314000,
13,18,0.420000,
13,19,0.396000,
13,2,0.406000,
13,20,0.396000,
13,3,0.424000,
13,4,0.392000,
13,5,0.424000,
13,6,0.398000,
13,7,0.372000,
13,8,0.364000,
13,9,0.428000,
14,15,0.472000,
14,16,0.488000,
14,17,0.394000,
14,18,0.478000,
14,19,0.454000,
14,2,0.474000,
14,20,0.458000,
14,3,0.522000,
14,4,0.494000,
14,5,0.490000,
14,6,0.462000,
14,7,0.440000,
14,8,0.430000,
14,9,0.526000,
15,16,0.468000,
15,17,0.384000,
15,18,0.460000,
15,19,0.466000,
15,2,0.472000,
15,20,0.462000,
15,3,0.518000,
15,4,0.448000,
15,5,0.478000,
15,6,0.452000,
15,7,0.434000,
15,8,0.408000,
15,9,0.502000,
16,17,0.358000,
16,18,0.462000,
16,19,0.414000,
16,2,0.464000,
16,20,0.440000,
16,3,0.506000,
16,4,0.454000,
16,5,0.456000,
16,6,0.450000,
16,7,0.438000,
16,8,0.394000,
16,9,0.506000,
17,18,0.408000,
17,19,0.412000,
17,2,0.406000,
17,20,0.386000,
17,3,0.416000,
17,4,0.366000,
17,5,0.408000,
17,6,0.386000,
17,7,0.332000,
17,8,0.318000,
17,9,0.414000,
18,19,0.444000,
18,2,0.494000,
18,20,0.452000,
18,3,0.504000,
18,4,0.462000,
18,5,0.492000,
18,6,0.450000,
18,7,0.450000,
18,8,0.424000,
18,9,0.514000,
19,2,0.436000,
19,20,0.448000,
19,3,0.476000,
19,4,0.416000,
19,5,0.482000,
19,6,0.426000,
19,7,0.386000,
19,8,0.376000,
19,9,0.488000,
2,20,0.476000,
2,3,0.504000,
2,4,0.448000,
2,5,0.474000,
2,6,0.462000,
2,7,0.438000,
2,8,0.406000,
2,9,0.518000,
20,3,0.492000,
20,4,0.454000,
20,5,0.494000,
20,6,0.458000,
20,7,0.420000,
20,8,0.396000,
20,9,0.526000,
3,4,0.514000,
3,5,0.514000,
3,6,0.506000,
3,7,0.454000,
3,8,0.450000,
3,9,0.552000,
4,5,0.458000,
4,6,0.436000,
4,7,0.420000,
4,8,0.390000,
4,9,0.494000,
5,6,0.482000,
5,7,0.428000,
5,8,0.402000,
5,9,0.512000,
6,7,0.404000,
6,8,0.388000,
6,9,0.484000,
7,8,0.400000,
7,9,0.446000,
8,9,0.438000,
