Document1,Document2,Similarity%
datasets/real/doc_1.txt,datasets/real/doc_2.txt,10.13
datasets/real/doc_1.txt,datasets/real/doc_3.txt,18.92
datasets/real/doc_1.txt,datasets/real/doc_4.txt,25.00
datasets/real/doc_1.txt,datasets/real/doc_5.txt,20.83
datasets/real/doc_1.txt,datasets/real/doc_6.txt,17.33
datasets/real/doc_1.txt,datasets/real/doc_7.txt,11.69
datasets/real/doc_1.txt,datasets/real/doc_8.txt,20.83
datasets/real/doc_1.txt,datasets/real/doc_9.txt,20.55
datasets/real/doc_1.txt,datasets/real/doc_10.txt,9.76
datasets/real/doc_1.txt,datasets/real/doc_11.txt,17.81
datasets/real/doc_1.txt,datasets/real/doc_12.txt,26.47
datasets/real/doc_1.txt,datasets/real/doc_13.txt,16.22
datasets/real/doc_1.txt,datasets/real/doc_14.txt,11.84
datasets/real/doc_1.txt,datasets/real/doc_15.txt,18.42
datasets/real/doc_1.txt,datasets/real/doc_16.txt,12.99
datasets/real/doc_1.txt,datasets/real/doc_17.txt,18.18
datasets/real/doc_1.txt,datasets/real/doc_18.txt,15.79
datasets/real/doc_1.txt,datasets/real/doc_19.txt,11.54
datasets/real/doc_1.txt,datasets/real/doc_20.txt,11.39
datasets/real/doc_1.txt,datasets/real/doc_21.txt,20.55
datasets/real/doc_1.txt,datasets/real/doc_22.txt,12.82
datasets/real/doc_1.txt,datasets/real/doc_23.txt,12.82
datasets/real/doc_1.txt,datasets/real/doc_24.txt,14.29
datasets/real/doc_1.txt,datasets/real/doc_25.txt,8.64
datasets/real/doc_1.txt,datasets/real/doc_26.txt,17.33
datasets/real/doc_1.txt,datasets/real/doc_27.txt,15.58
datasets/real/doc_1.txt,datasets/real/doc_28.txt,7.41
datasets/real/doc_1.txt,datasets/real/doc_29.txt,14.29
datasets/real/doc_1.txt,datasets/real/doc_30.txt,7.14
datasets/real/doc_1.txt,datasets/real/doc_31.txt,20.00
datasets/real/doc_1.txt,datasets/real/doc_32.txt,15.79
datasets/real/doc_1.txt,datasets/real/doc_33.txt,6.17
datasets/real/doc_1.txt,datasets/real/doc_34.txt,22.22
datasets/real/doc_1.txt,datasets/real/doc_35.txt,19.44
datasets/real/doc_1.txt,datasets/real/doc_36.txt,20.55
datasets/real/doc_1.txt,datasets/real/doc_37.txt,29.85
datasets/real/doc_1.txt,datasets/real/doc_38.txt,27.14
datasets/real/doc_1.txt,datasets/real/doc_39.txt,17.81
datasets/real/doc_1.txt,datasets/real/doc_40.txt,6.10
datasets/real/doc_1.txt,datasets/real/doc_41.txt,17.33
datasets/real/doc_1.txt,datasets/real/doc_42.txt,23.61
datasets/real/doc_1.txt,datasets/real/doc_43.txt,5.95
datasets/real/doc_1.txt,datasets/real/doc_44.txt,4.88
datasets/real/doc_1.txt,datasets/real/doc_45.txt,9.09
datasets/real/doc_1.txt,datasets/real/doc_46.txt,8.86
datasets/real/doc_1.txt,datasets/real/doc_47.txt,9.88
datasets/real/doc_1.txt,datasets/real/doc_48.txt,22.22
datasets/real/doc_1.txt,datasets/real/doc_49.txt,12.99
datasets/real/doc_1.txt,datasets/real/doc_50.txt,21.92
datasets/real/doc_1.txt,datasets/real/doc_51.txt,28.99
datasets/real/doc_1.txt,datasets/real/doc_52.txt,3.61
datasets/real/doc_1.txt,datasets/real/doc_53.txt,12.50
datasets/real/doc_1.txt,datasets/real/doc_54.txt,33.85
datasets/real/doc_1.txt,datasets/real/doc_55.txt,10.39
datasets/real/doc_1.txt,datasets/real/doc_56.txt,21.62
datasets/real/doc_1.txt,datasets/real/doc_57.txt,21.92
datasets/real/doc_1.txt,datasets/real/doc_58.txt,20.00
datasets/real/doc_1.txt,datasets/real/doc_59.txt,8.97
datasets/real/doc_1.txt,datasets/real/doc_60.txt,20.55
datasets/real/doc_1.txt,datasets/real/doc_61.txt,28.57
datasets/real/doc_1.txt,datasets/real/doc_62.txt,14.67
datasets/real/doc_1.txt,datasets/real/doc_63.txt,10.39
datasets/real/doc_1.txt,datasets/real/doc_64.txt,18.67
datasets/real/doc_1.txt,datasets/real/doc_65.txt,8.86
datasets/real/doc_1.txt,datasets/real/doc_66.txt,16.00
datasets/real/doc_1.txt,datasets/real/doc_67.txt,13.16
datasets/real/doc_1.txt,datasets/real/doc_68.txt,29.41
datasets/real/doc_1.txt,datasets/real/doc_69.txt,20.29
datasets/real/doc_1.txt,datasets/real/doc_70.txt,6.02
datasets/real/doc_1.txt,datasets/real/doc_71.txt,7.32
datasets/real/doc_1.txt,datasets/real/doc_72.txt,13.16
datasets/real/doc_1.txt,datasets/real/doc_73.txt,10.39
datasets/real/doc_1.txt,datasets/real/doc_74.txt,14.67
datasets/real/doc_1.txt,datasets/real/doc_75.txt,8.64
datasets/real/doc_1.txt,datasets/real/doc_76.txt,8.54
datasets/real/doc_1.txt,datasets/real/doc_77.txt,8.97
datasets/real/doc_1.txt,datasets/real/doc_78.txt,20.29
datasets/real/doc_1.txt,datasets/real/doc_79.txt,7.23
datasets/real/doc_1.txt,datasets/real/doc_80.txt,17.33
datasets/real/doc_1.txt,datasets/real/doc_81.txt,11.39
datasets/real/doc_1.txt,datasets/real/doc_82.txt,11.54
datasets/real/doc_1.txt,datasets/real/doc_83.txt,28.79
datasets/real/doc_1.txt,datasets/real/doc_84.txt,14.29
datasets/real/doc_1.txt,datasets/real/doc_85.txt,26.76
datasets/real/doc_1.txt,datasets/real/doc_86.txt,22.86
datasets/real/doc_1.txt,datasets/real/doc_87.txt,29.41
datasets/real/doc_1.txt,datasets/real/doc_88.txt,24.29
datasets/real/doc_1.txt,datasets/real/doc_89.txt,12.66
datasets/real/doc_1.txt,datasets/real/doc_90.txt,10.00
datasets/real/doc_1.txt,datasets/real/doc_91.txt,6.17
datasets/real/doc_1.txt,datasets/real/doc_92.txt,6.10
datasets/real/doc_1.txt,datasets/real/doc_93.txt,21.92
datasets/real/doc_1.txt,datasets/real/doc_94.txt,25.35
datasets/real/doc_1.txt,datasets/real/doc_95.txt,7.59
datasets/real/doc_1.txt,datasets/real/doc_96.txt,21.62
datasets/real/doc_1.txt,datasets/real/doc_97.txt,31.34
datasets/real/doc_1.txt,datasets/real/doc_98.txt,20.27
datasets/real/doc_1.txt,datasets/real/doc_99.txt,11.11
datasets/real/doc_1.txt,datasets/real/doc_100.txt,17.57
datasets/real/doc_2.txt,datasets/real/doc_3.txt,12.66
datasets/real/doc_2.txt,datasets/real/doc_4.txt,13.75
datasets/real/doc_2.txt,datasets/real/doc_5.txt,11.39
datasets/real/doc_2.txt,datasets/real/doc_6.txt,11.25
datasets/real/doc_2.txt,datasets/real/doc_7.txt,6.10
datasets/real/doc_2.txt,datasets/real/doc_8.txt,14.29
datasets/real/doc_2.txt,datasets/real/doc_9.txt,8.54
datasets/real/doc_2.txt,datasets/real/doc_10.txt,1.11
datasets/real/doc_2.txt,datasets/real/doc_11.txt,14.47
datasets/real/doc_2.txt,datasets/real/doc_12.txt,11.54
datasets/real/doc_2.txt,datasets/real/doc_13.txt,3.57
datasets/real/doc_2.txt,datasets/real/doc_14.txt,6.17
datasets/real/doc_2.txt,datasets/real/doc_15.txt,16.67
datasets/real/doc_2.txt,datasets/real/doc_16.txt,6.02
datasets/real/doc_2.txt,datasets/real/doc_17.txt,8.24
datasets/real/doc_2.txt,datasets/real/doc_18.txt,11.25
datasets/real/doc_2.txt,datasets/real/doc_19.txt,2.33
datasets/real/doc_2.txt,datasets/real/doc_20.txt,5.95
datasets/real/doc_2.txt,datasets/real/doc_21.txt,8.54
datasets/real/doc_2.txt,datasets/real/doc_22.txt,5.95
datasets/real/doc_2.txt,datasets/real/doc_23.txt,7.23
datasets/real/doc_2.txt,datasets/real/doc_24.txt,11.25
datasets/real/doc_2.txt,datasets/real/doc_25.txt,5.95
datasets/real/doc_2.txt,datasets/real/doc_26.txt,4.71
datasets/real/doc_2.txt,datasets/real/doc_27.txt,11.11
datasets/real/doc_2.txt,datasets/real/doc_28.txt,11.39
datasets/real/doc_2.txt,datasets/real/doc_29.txt,7.23
datasets/real/doc_2.txt,datasets/real/doc_30.txt,4.60
datasets/real/doc_2.txt,datasets/real/doc_31.txt,9.64
datasets/real/doc_2.txt,datasets/real/doc_32.txt,14.10
datasets/real/doc_2.txt,datasets/real/doc_33.txt,3.57
datasets/real/doc_2.txt,datasets/real/doc_34.txt,11.25
datasets/real/doc_2.txt,datasets/real/doc_35.txt,11.54
datasets/real/doc_2.txt,datasets/real/doc_36.txt,7.23
datasets/real/doc_2.txt,datasets/real/doc_37.txt,12.82
datasets/real/doc_2.txt,datasets/real/doc_38.txt,12.50
datasets/real/doc_2.txt,datasets/real/doc_39.txt,7.41
datasets/real/doc_2.txt,datasets/real/doc_40.txt,4.76
