doc1,doc2,similarity,hash_count,runtime,status,method,k,t
doc_1.txt,doc_10.txt,,,,error,minhash,5,75
doc_1.txt,doc_11.txt,,,,error,minhash,5,75
doc_1.txt,doc_12.txt,,,,error,minhash,5,75
doc_1.txt,doc_13.txt,,,,error,minhash,5,75
doc_1.txt,doc_14.txt,,,,error,minhash,5,75
doc_1.txt,doc_15.txt,,,,error,minhash,5,75
doc_1.txt,doc_16.txt,,,,error,minhash,5,75
doc_1.txt,doc_17.txt,,,,error,minhash,5,75
doc_1.txt,doc_18.txt,,,,error,minhash,5,75
doc_1.txt,doc_19.txt,,,,error,minhash,5,75
doc_1.txt,doc_2.txt,,,,error,minhash,5,75
doc_1.txt,doc_20.txt,,,,error,minhash,5,75
doc_1.txt,doc_3.txt,,,,error,minhash,5,75
doc_1.txt,doc_4.txt,,,,error,minhash,5,75
doc_1.txt,doc_5.txt,,,,error,minhash,5,75
doc_1.txt,doc_6.txt,,,,error,minhash,5,75
doc_1.txt,doc_7.txt,,,,error,minhash,5,75
doc_1.txt,doc_8.txt,,,,error,minhash,5,75
doc_1.txt,doc_9.txt,,,,error,minhash,5,75
doc_10.txt,doc_11.txt,,,,error,minhash,5,75
doc_10.txt,doc_12.txt,,,,error,minhash,5,75
doc_10.txt,doc_13.txt,,,,error,minhash,5,75
doc_10.txt,doc_14.txt,,,,error,minhash,5,75
doc_10.txt,doc_15.txt,,,,error,minhash,5,75
doc_10.txt,doc_16.txt,,,,error,minhash,5,75
doc_10.txt,doc_17.txt,,,,error,minhash,5,75
doc_10.txt,doc_18.txt,,,,error,minhash,5,75
doc_10.txt,doc_19.txt,,,,error,minhash,5,75
doc_10.txt,doc_2.txt,,,,error,minhash,5,75
doc_10.txt,doc_20.txt,,,,error,minhash,5,75
doc_10.txt,doc_3.txt,,,,error,minhash,5,75
doc_10.txt,doc_4.txt,,,,error,minhash,5,75
doc_10.txt,doc_5.txt,,,,error,minhash,5,75
doc_10.txt,doc_6.txt,,,,error,minhash,5,75
doc_10.txt,doc_7.txt,,,,error,minhash,5,75
doc_10.txt,doc_8.txt,,,,error,minhash,5,75
doc_10.txt,doc_9.txt,,,,error,minhash,5,75
doc_11.txt,doc_12.txt,,,,error,minhash,5,75
doc_11.txt,doc_13.txt,,,,error,minhash,5,75
doc_11.txt,doc_14.txt,,,,error,minhash,5,75
doc_11.txt,doc_15.txt,,,,error,minhash,5,75
doc_11.txt,doc_16.txt,,,,error,minhash,5,75
doc_11.txt,doc_17.txt,,,,error,minhash,5,75
doc_11.txt,doc_18.txt,,,,error,minhash,5,75
doc_11.txt,doc_19.txt,,,,error,minhash,5,75
doc_11.txt,doc_2.txt,,,,error,minhash,5,75
doc_11.txt,doc_20.txt,,,,error,minhash,5,75
doc_11.txt,doc_3.txt,,,,error,minhash,5,75
doc_11.txt,doc_4.txt,,,,error,minhash,5,75
doc_11.txt,doc_5.txt,,,,error,minhash,5,75
doc_11.txt,doc_6.txt,,,,error,minhash,5,75
doc_11.txt,doc_7.txt,,,,error,minhash,5,75
doc_11.txt,doc_8.txt,,,,error,minhash,5,75
doc_11.txt,doc_9.txt,,,,error,minhash,5,75
doc_12.txt,doc_13.txt,,,,error,minhash,5,75
doc_12.txt,doc_14.txt,,,,error,minhash,5,75
doc_12.txt,doc_15.txt,,,,error,minhash,5,75
doc_12.txt,doc_16.txt,,,,error,minhash,5,75
doc_12.txt,doc_17.txt,,,,error,minhash,5,75
doc_12.txt,doc_18.txt,,,,error,minhash,5,75
doc_12.txt,doc_19.txt,,,,error,minhash,5,75
doc_12.txt,doc_2.txt,,,,error,minhash,5,75
