Document1,Document2,EstimatedSimilarity
1,10,0.240000
1,11,0.280000
1,12,0.290000
1,13,0.240000
1,14,0.280000
1,15,0.290000
1,16,0.260000
1,17,0.250000
1,18,0.240000
1,19,0.300000
1,2,0.250000
1,20,0.240000
1,3,0.290000
1,4,0.280000
1,5,0.270000
1,6,0.290000
1,7,0.210000
1,8,0.250000
1,9,0.300000
10,11,0.330000
10,12,0.310000
10,13,0.280000
10,14,0.320000
10,15,0.300000
10,16,0.280000
10,17,0.260000
10,18,0.270000
10,19,0.250000
10,2,0.290000
10,20,0.290000
10,3,0.290000
10,4,0.230000
10,5,0.240000
10,6,0.310000
10,7,0.230000
10,8,0.220000
10,9,0.290000
11,12,0.320000
11,13,0.320000
11,14,0.320000
11,15,0.290000
11,16,0.330000
11,17,0.230000
11,18,0.300000
11,19,0.300000
11,2,0.280000
11,20,0.300000
11,3,0.320000
11,4,0.320000
11,5,0.310000
11,6,0.320000
11,7,0.260000
11,8,0.250000
11,9,0.310000
12,13,0.270000
12,14,0.360000
12,15,0.320000
12,16,0.310000
12,17,0.250000
12,18,0.330000
12,19,0.340000
12,2,0.340000
12,20,0.330000
12,3,0.300000
12,4,0.320000
12,5,0.310000
12,6,0.340000
12,7,0.240000
12,8,0.300000
12,9,0.360000
13,14,0.270000
13,15,0.280000
13,16,0.260000
13,17,0.240000
13,18,0.300000
13,19,0.270000
13,2,0.310000
13,20,0.260000
13,3,0.290000
13,4,0.250000
13,5,0.260000
13,6,0.280000
13,7,0.220000
13,8,0.230000
13,9,0.310000
14,15,0.330000
14,16,0.340000
14,17,0.330000
14,18,0.320000
14,19,0.330000
14,2,0.310000
14,20,0.300000
14,3,0.330000
14,4,0.320000
14,5,0.340000
14,6,0.310000
14,7,0.240000
14,8,0.270000
14,9,0.350000
15,16,0.280000
15,17,0.260000
15,18,0.270000
15,19,0.310000
15,2,0.300000
15,20,0.300000
15,3,0.340000
15,4,0.300000
15,5,0.270000
15,6,0.330000
15,7,0.270000
15,8,0.280000
15,9,0.330000
16,17,0.220000
16,18,0.280000
16,19,0.270000
16,2,0.290000
16,20,0.260000
16,3,0.290000
16,4,0.280000
16,5,0.320000
16,6,0.320000
16,7,0.250000
16,8,0.240000
16,9,0.300000
17,18,0.270000
17,19,0.270000
17,2,0.240000
17,20,0.280000
17,3,0.260000
17,4,0.260000
17,5,0.240000
17,6,0.270000
17,7,0.190000
17,8,0.230000
17,9,0.280000
18,19,0.290000
18,2,0.320000
18,20,0.330000
18,3,0.320000
18,4,0.300000
18,5,0.280000
18,6,0.290000
18,7,0.250000
18,8,0.290000
18,9,0.310000
19,2,0.260000
19,20,0.340000
19,3,0.320000
19,4,0.280000
19,5,0.330000
19,6,0.310000
19,7,0.210000
19,8,0.280000
19,9,0.340000
2,20,0.310000
2,3,0.320000
2,4,0.260000
2,5,0.300000
2,6,0.340000
2,7,0.230000
2,8,0.270000
2,9,0.360000
20,3,0.360000
20,4,0.330000
20,5,0.310000
20,6,0.320000
20,7,0.250000
20,8,0.260000
20,9,0.380000
3,4,0.310000
3,5,0.300000
3,6,0.350000
3,7,0.210000
3,8,0.260000
3,9,0.400000
4,5,0.230000
4,6,0.270000
4,7,0.220000
4,8,0.310000
4,9,0.320000
5,6,0.320000
5,7,0.210000
5,8,0.230000
5,9,0.310000
6,7,0.250000
6,8,0.280000
6,9,0.360000
7,8,0.210000
7,9,0.250000
8,9,0.240000
