Doc1,Doc2,Sim%
1,10,15.09
1,11,14.74
1,12,15.48
1,13,14.29
1,14,16.95
1,15,16.79
1,16,16.65
1,17,12.45
1,18,16.29
1,19,15.85
1,2,17.32
1,20,14.73
1,3,17.10
1,4,16.31
1,5,16.50
1,6,17.13
1,7,13.94
1,8,14.21
1,9,17.05
10,11,15.91
10,12,15.05
10,13,15.57
10,14,16.06
10,15,16.82
10,16,16.37
10,17,10.57
10,18,16.56
10,19,13.05
10,2,16.79
10,20,14.49
10,3,17.56
10,4,16.64
10,5,14.99
10,6,16.68
10,7,15.05
10,8,15.88
10,9,15.04
11,12,14.65
11,13,15.15
11,14,16.00
11,15,16.17
11,16,16.14
11,17,9.75
11,18,16.77
11,19,12.18
11,2,15.96
11,20,14.05
11,3,16.25
11,4,16.24
11,5,14.64
11,6,16.33
11,7,14.57
11,8,14.92
11,9,14.91
12,13,14.53
12,14,15.89
12,15,16.23
12,16,15.78
12,17,11.19
12,18,16.41
12,19,13.64
12,2,16.68
12,20,14.60
12,3,17.11
12,4,15.80
12,5,14.67
12,6,16.09
12,7,14.13
12,8,14.64
12,9,16.92
13,14,15.45
13,15,16.05
13,16,15.87
13,17,9.89
13,18,16.21
13,19,12.12
13,2,16.13
13,20,14.01
13,3,16.13
13,4,16.14
13,5,14.71
13,6,16.32
13,7,14.47
13,8,14.82
13,9,14.98
14,15,17.91
14,16,17.47
14,17,13.37
14,18,17.58
14,19,15.10
14,2,18.13
14,20,16.76
14,3,18.12
14,4,17.24
14,5,17.31
14,6,18.32
14,7,14.98
14,8,15.45
14,9,18.34
15,16,17.85
15,17,12.16
15,18,17.99
15,19,15.98
15,2,18.00
15,20,16.33
15,3,19.63
15,4,17.42
15,5,17.55
15,6,18.30
15,7,15.60
15,8,15.85
15,9,16.42
16,17,11.16
16,18,17.49
16,19,13.24
16,2,17.15
16,20,15.77
16,3,17.78
16,4,17.42
16,5,16.18
16,6,17.64
16,7,16.40
16,8,16.28
16,9,16.58
17,18,12.06
17,19,10.49
17,2,11.11
17,20,11.81
17,3,12.26
17,4,10.99
17,5,12.22
17,6,11.98
17,7,9.50
17,8,9.70
17,9,12.01
18,19,14.34
18,2,17.46
18,20,15.86
18,3,18.79
18,4,17.60
18,5,16.44
18,6,17.87
18,7,15.96
18,8,16.01
18,9,17.27
19,2,13.61
19,20,13.21
19,3,16.12
19,4,13.56
19,5,15.28
19,6,15.21
19,7,11.91
19,8,11.98
19,9,13.50
2,20,16.15
2,3,17.79
2,4,16.95
2,5,15.64
2,6,17.87
2,7,15.03
2,8,15.65
2,9,17.37
20,3,17.57
20,4,15.56
20,5,17.35
20,6,16.85
20,7,13.56
20,8,13.83
20,9,17.38
3,4,18.58
3,5,17.75
3,6,18.36
3,7,15.66
3,8,16.51
3,9,17.46
4,5,16.68
4,6,17.65
4,7,15.99
4,8,15.96
4,9,16.60
5,6,17.29
5,7,14.35
5,8,14.31
5,9,16.57
6,7,15.61
6,8,16.48
6,9,16.78
7,8,14.78
7,9,14.21
8,9,15.30
