Document1,Document2,EstimatedSimilarity
1,10,0.410000,
1,11,0.438000,
1,12,0.420000,
1,13,0.428000,
1,14,0.476000,
1,15,0.522000,
1,16,0.470000,
1,17,0.398000,
1,18,0.464000,
1,19,0.470000,
1,2,0.490000,
1,20,0.456000,
1,3,0.518000,
1,4,0.474000,
1,5,0.510000,
1,6,0.476000,
1,7,0.420000,
1,8,0.422000,
1,9,0.552000,
10,11,0.402000,
10,12,0.424000,
10,13,0.394000,
10,14,0.414000,
10,15,0.450000,
10,16,0.404000,
10,17,0.330000,
10,18,0.414000,
10,19,0.364000,
10,2,0.458000,
10,20,0.398000,
10,3,0.460000,
10,4,0.426000,
10,5,0.456000,
10,6,0.448000,
10,7,0.386000,
10,8,0.404000,
10,9,0.476000,
11,12,0.414000,
11,13,0.402000,
11,14,0.442000,
11,15,0.472000,
11,16,0.440000,
11,17,0.346000,
11,18,0.440000,
11,19,0.402000,
11,2,0.448000,
11,20,0.402000,
11,3,0.454000,
11,4,0.440000,
11,5,0.460000,
11,6,0.436000,
11,7,0.404000,
11,8,0.388000,
11,9,0.486000,
12,13,0.434000,
12,14,0.474000,
12,15,0.492000,
12,16,0.430000,
12,17,0.376000,
12,18,0.456000,
12,19,0.402000,
12,2,0.482000,
12,20,0.422000,
12,3,0.488000,
12,4,0.448000,
12,5,0.480000,
12,6,0.468000,
12,7,0.420000,
12,8,0.414000,
12,9,0.496000,
13,14,0.448000,
13,15,0.468000,
13,16,0.414000,
13,17,0.362000,
13,18,0.430000,
13,19,0.376000,
13,2,0.464000,
13,20,0.408000,
13,3,0.452000,
13,4,0.412000,
13,5,0.480000,
13,6,0.432000,
13,7,0.410000,
13,8,0.410000,
13,9,0.490000,
14,15,0.510000,
14,16,0.464000,
14,17,0.424000,
14,18,0.484000,
14,19,0.422000,
14,2,0.490000,
14,20,0.454000,
14,3,0.514000,
14,4,0.462000,
14,5,0.520000,
14,6,0.484000,
14,7,0.444000,
14,8,0.438000,
14,9,0.550000,
15,16,0.512000,
15,17,0.424000,
15,18,0.508000,
15,19,0.486000,
15,2,0.530000,
15,20,0.482000,
15,3,0.548000,
15,4,0.502000,
15,5,0.562000,
15,6,0.512000,
15,7,0.470000,
15,8,0.454000,
15,9,0.586000,
16,17,0.378000,
16,18,0.456000,
16,19,0.416000,
16,2,0.482000,
16,20,0.434000,
16,3,0.486000,
16,4,0.456000,
16,5,0.474000,
16,6,0.494000,
16,7,0.430000,
16,8,0.420000,
16,9,0.524000,
17,18,0.378000,
17,19,0.372000,
17,2,0.416000,
17,20,0.406000,
17,3,0.398000,
17,4,0.368000,
17,5,0.436000,
17,6,0.410000,
17,7,0.342000,
17,8,0.346000,
17,9,0.456000,
18,19,0.422000,
18,2,0.502000,
18,20,0.432000,
18,3,0.512000,
18,4,0.470000,
18,5,0.498000,
18,6,0.480000,
18,7,0.450000,
18,8,0.440000,
18,9,0.544000,
19,2,0.420000,
19,20,0.380000,
19,3,0.468000,
19,4,0.400000,
19,5,0.476000,
19,6,0.442000,
19,7,0.374000,
19,8,0.360000,
19,9,0.480000,
2,20,0.476000,
2,3,0.524000,
2,4,0.476000,
2,5,0.530000,
2,6,0.496000,
2,7,0.452000,
2,8,0.462000,
2,9,0.560000,
20,3,0.488000,
20,4,0.428000,
20,5,0.484000,
20,6,0.478000,
20,7,0.414000,
20,8,0.410000,
20,9,0.526000,
3,4,0.502000,
3,5,0.540000,
3,6,0.522000,
3,7,0.460000,
3,8,0.458000,
3,9,0.578000,
4,5,0.492000,
4,6,0.480000,
4,7,0.424000,
4,8,0.430000,
4,9,0.506000,
5,6,0.532000,
5,7,0.464000,
5,8,0.466000,
5,9,0.562000,
6,7,0.424000,
6,8,0.450000,
6,9,0.556000,
7,8,0.406000,
7,9,0.478000,
8,9,0.484000,
