Doc1,Doc2,Sim%
1,10,0.185
1,11,0.21
1,12,0.205
1,13,0.21
1,14,0.23
1,15,0.24
1,16,0.2
1,17,0.175
1,18,0.245
1,19,0.2
1,2,0.215
1,20,0.15
1,3,0.18
1,4,0.2
1,5,0.175
1,6,0.215
1,7,0.16
1,8,0.24
1,9,0.205
10,11,0.17
10,12,0.165
10,13,0.195
10,14,0.19
10,15,0.175
10,16,0.185
10,17,0.105
10,18,0.205
10,19,0.155
10,2,0.2
10,20,0.18
10,3,0.155
10,4,0.205
10,5,0.2
10,6,0.19
10,7,0.17
10,8,0.215
10,9,0.18
11,12,0.19
11,13,0.175
11,14,0.21
11,15,0.2
11,16,0.2
11,17,0.115
11,18,0.225
11,19,0.145
11,2,0.195
11,20,0.125
11,3,0.135
11,4,0.2
11,5,0.185
11,6,0.17
11,7,0.18
11,8,0.19
11,9,0.155
12,13,0.165
12,14,0.21
12,15,0.17
12,16,0.175
12,17,0.14
12,18,0.195
12,19,0.155
12,2,0.205
12,20,0.11
12,3,0.175
12,4,0.185
12,5,0.175
12,6,0.18
12,7,0.16
12,8,0.195
12,9,0.195
13,14,0.19
13,15,0.165
13,16,0.2
13,17,0.135
13,18,0.22
13,19,0.135
13,2,0.24
13,20,0.145
13,3,0.14
13,4,0.195
13,5,0.185
13,6,0.185
13,7,0.2
13,8,0.205
13,9,0.185
14,15,0.19
14,16,0.195
14,17,0.16
14,18,0.225
14,19,0.155
14,2,0.2
14,20,0.145
14,3,0.185
14,4,0.2
14,5,0.22
14,6,0.195
14,7,0.17
14,8,0.195
14,9,0.235
15,16,0.2
15,17,0.135
15,18,0.205
15,19,0.13
15,2,0.19
15,20,0.14
15,3,0.18
15,4,0.21
15,5,0.19
15,6,0.19
15,7,0.135
15,8,0.2
15,9,0.185
16,17,0.115
16,18,0.22
16,19,0.155
16,2,0.195
16,20,0.13
16,3,0.16
16,4,0.205
16,5,0.16
16,6,0.22
16,7,0.185
16,8,0.195
16,9,0.185
17,18,0.165
17,19,0.095
17,2,0.14
17,20,0.08
17,3,0.12
17,4,0.125
17,5,0.14
17,6,0.14
17,7,0.115
17,8,0.14
17,9,0.125
18,19,0.17
18,2,0.23
18,20,0.165
18,3,0.19
18,4,0.225
18,5,0.18
18,6,0.22
18,7,0.2
18,8,0.205
18,9,0.215
19,2,0.145
19,20,0.095
19,3,0.17
19,4,0.17
19,5,0.175
19,6,0.15
19,7,0.115
19,8,0.135
19,9,0.155
2,20,0.135
2,3,0.155
2,4,0.21
2,5,0.21
2,6,0.205
2,7,0.19
2,8,0.2
2,9,0.17
20,3,0.135
20,4,0.16
20,5,0.17
20,6,0.155
20,7,0.11
20,8,0.13
20,9,0.165
3,4,0.185
3,5,0.17
3,6,0.165
3,7,0.11
3,8,0.15
3,9,0.17
4,5,0.2
4,6,0.215
4,7,0.185
4,8,0.21
4,9,0.205
5,6,0.205
5,7,0.14
5,8,0.165
5,9,0.185
6,7,0.14
6,8,0.21
6,9,0.195
7,8,0.205
7,9,0.145
8,9,0.185
time: 133 ms
